Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2014-08-15,37.774334268,37.910422478,37.1765146093,4490000,37.487574
2014-08-18,37.7791955331,38.245784862,37.7014291059,5697400,38.177741
2014-08-19,38.2555037527,38.440194095,38.0805320873,4424000,38.158299
2014-08-20,38.0027686728,38.4353363062,38.0027686728,3965800,38.352712
2014-08-21,38.4158956202,38.5908672885,38.226343992,4001800,38.367293
2014-08-22,38.5179612717,38.7512576372,38.3575700508,5807400,38.537403
2014-08-25,38.6880713217,39.0282954931,38.6394691879,5074400,38.887346
2014-08-26,38.8970651381,38.9310868262,38.6005857063,5216400,38.62975
2014-08-27,38.8776229261,38.8776229261,38.6005852261,3679400,38.746396
2014-08-28,38.5221452761,38.6196469648,38.3466491591,5169200,38.424647
2014-08-29,38.4392711712,38.4831480038,38.1565214402,6423000,38.293024
2014-09-02,38.1955217268,38.7658947116,38.1955217268,8164200,38.648896
2014-09-03,38.8975212199,38.9413941523,38.2881478534,4409600,38.424647
2014-09-04,38.6098954497,39.107146072,38.6001469382,6022800,38.960895
2014-09-05,38.775647245,40.0285189091,38.6830210291,12380600,39.994394
2014-09-08,39.9358926732,40.3600180062,39.5312677757,11728200,40.169894
2014-09-09,40.1065169303,40.2381435304,39.7360203526,8119000,39.896892
2014-09-10,39.8432699395,40.2722678175,39.7311437768,6742400,40.204018
2014-09-11,40.0528955095,40.2625160524,39.7506448502,7460400,39.887144
2014-09-12,39.960269269,39.9748937427,39.6872714572,5926200,39.896892
2014-09-15,40.0236418981,40.0626427687,39.4922702704,6729000,39.784769
2014-09-16,39.599520886,39.7506445081,39.4045209184,9393200,39.584893
2014-09-17,39.7555204355,39.892019584,39.4873946881,7443200,39.73602
2014-09-18,39.9017676934,39.9748934735,39.6092694479,6393400,39.960269
2014-09-19,40.2868924118,40.3356417947,39.6482705721,19704400,39.882268
2014-09-22,39.8188942314,39.9115204479,39.0973946854,8138400,39.34602
2014-09-23,39.2533935535,39.2826459127,38.9462703499,6046800,39.058397
2014-09-24,39.0681453721,39.4240213735,38.9608951705,6754000,39.409393
2014-09-25,39.3313947872,39.3313947872,38.6440201635,14138400,38.878021
2014-09-26,42.8901374326,43.8700073899,42.5586383139,35090400,43.631134
2014-09-29,43.0315091763,43.9236322928,43.0315091763,14834400,43.445886
2014-09-30,43.2362610981,44.0162585382,43.0948864737,11583400,43.484883
2014-10-01,43.343511846,43.3873847795,42.6610126835,9471600,42.753635
2014-10-02,42.7390096883,43.6360092386,42.3538852311,8739200,43.533635
2014-10-03,43.7578841771,44.0942558418,43.4702579949,8790000,44.016258
2014-10-06,44.016258615,44.1186328557,43.1728843918,7031200,43.494635
2014-10-07,43.1923833329,43.4800095125,42.9145095647,5486400,42.93401
2014-10-08,42.9535104525,43.4653855442,42.6707602348,7481200,43.30451
2014-10-09,43.1192584881,43.3825082732,42.4611357316,7462200,42.524513
2014-10-10,42.6268876761,42.9973842538,42.4172632332,9048200,42.505013
2014-10-13,42.3928869681,42.470888711,41.5543887066,8005200,41.627514
2014-10-14,41.8176385701,41.8810158395,41.3593883233,9853400,41.481263
2014-10-15,41.4958905407,42.461135523,40.9986394324,17571600,41.525139
2014-10-16,41.0425162035,42.5342612387,40.8767646968,13644000,42.431887
2014-10-17,42.7975116968,43.0705095085,42.378262324,11396800,42.500137
2014-10-20,42.3148882271,43.3532589859,42.3002603412,6743400,43.338635
2014-10-21,43.5336356873,44.2161309472,43.3971331253,6459600,44.186882
2014-10-22,44.1917584634,44.6207558601,43.7822576023,7087800,43.806634
2014-10-23,43.938256387,44.5183813027,43.8505066209,6191800,44.055259
2014-10-24,43.8505067955,44.3575059332,43.8310102599,4931000,44.313633
2014-10-27,44.3185093816,44.7426308189,44.0845080523,5819400,44.674381
2014-10-28,44.6207551745,45.069253,44.5135049738,6358400,45.069253
2014-10-29,44.9278821395,45.113130183,44.5671301765,4998600,44.825504
2014-10-30,44.7377541378,45.337379,44.6305073491,4585200,45.337379
2014-10-31,45.8882515467,45.8931275087,45.1765039263,6463600,45.322755
2014-11-03,45.5080026176,45.571379886,45.2740056793,4862800,45.556752
2014-11-04,45.3666276483,45.8346259087,45.1521306597,4441400,45.800501
2014-11-05,46.2343748421,46.2343748421,45.6835027726,6513800,46.156377
2014-11-06,46.2392506749,46.3562493878,46.0881275405,5482000,46.117376
2014-11-07,46.1905022307,46.1905022307,45.600629286,4909800,45.717628
2014-11-10,45.8443781716,46.3465013444,45.8443781716,5898200,46.292876
2014-11-11,46.4098745833,46.4586273781,46.1076278281,4563200,46.253875
2014-11-12,46.0442502872,46.7608738565,45.9370034993,5018400,46.707249
2014-11-13,46.8876244592,47.0680004387,46.5853742935,5417400,46.858376
2014-11-14,46.697501111,46.7413740441,46.3172526112,6406800,46.556126
2014-11-17,46.4927523355,46.8925007808,46.3318767901,5931000,46.829124
2014-11-18,46.7949991619,47.2142480432,46.6828764111,4803400,47.029
2014-11-19,47.0436250452,47.3361232933,46.9704992644,4586000,47.262998
2014-11-20,47.1021258838,47.6286215551,46.9509988492,4822400,47.433625
2014-11-21,48.1112483071,48.2428714953,47.1216269081,7016400,47.492123
2014-11-24,47.6724981583,48.0186217464,47.6481217609,5081600,47.750496
2014-11-25,47.9211236619,48.0186219394,47.418997076,6177200,47.428749
2014-11-26,47.4336246516,47.7163709707,47.3361224748,3948800,47.677374
2014-11-28,47.9406198014,48.6328708746,47.8869983574,3609400,48.403746
2014-12-01,48.0966237142,48.4524953279,47.609125014,5139200,47.623749
2014-12-02,47.8041215115,48.1258721158,47.6237489426,4384000,47.794373
2014-12-03,47.8528743918,48.0673708951,47.540871811,3792000,48.018622
2014-12-04,48.0186222508,48.452495609,47.8041218465,4128200,48.286748
2014-12-05,48.3891220909,48.5061208043,48.1794976492,3408200,48.423247
2014-12-08,48.2867482535,48.2867482535,47.4336255186,5155200,47.638374
